sample	tool	mode	stage	started_at	finished_at	wall_seconds	user_seconds	sys_seconds	max_rss_gb	io_input_mb	io_output_mb	command	exit_code
cami_sample_0	hymet		run	2025-10-25T00:34:28Z	2025-10-25T00:37:39Z	190.370	196.870	34.950	7.317	0.273	14.303	/mnt/HC_Volume_103721442/HYMET/bench/run_hymet.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8 --out /mnt/HC_Volume_103721442/HYMET/bench/out/cami_sample_0/hymet	0
cami_sample_0	hymet		eval	2025-10-25T00:37:39Z	2025-10-25T00:38:00Z	20.800	23.240	2.660	1.108	0.000	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_sample_0 --tool hymet --pred-profile /mnt/HC_Volume_103721442/HYMET/bench/out/cami_sample_0/hymet/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/cami/sample_0/taxonomic_profile_0.txt --pred-contigs /mnt/HC_Volume_103721442/HYMET/bench/out/cami_sample_0/hymet/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/cami/sample_0/2017.12.29_11.37.26_sample_0/contigs/gsa_mapping_new.tsv --pred-fasta /mnt/HC_Volume_103721442/cami/sample_0.fna --paf /mnt/HC_Volume_103721442/HYMET/bench/out/cami_sample_0/hymet/resultados.paf --threads 8	0
cami_sample_0	kraken2		run	2025-10-25T00:38:00Z	2025-10-25T00:38:44Z	44.630	17.710	20.160	11.145	16.432	0.073	/mnt/HC_Volume_103721442/HYMET/bench/run_kraken2.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8	0
cami_sample_0	kraken2		eval	2025-10-25T00:38:44Z	2025-10-25T00:38:59Z	14.300	14.920	1.730	0.925	0.001	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_sample_0 --tool kraken2 --pred-profile /mnt/HC_Volume_103721442/HYMET/bench/out/cami_sample_0/kraken2/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/cami/sample_0/taxonomic_profile_0.txt --pred-contigs /mnt/HC_Volume_103721442/HYMET/bench/out/cami_sample_0/kraken2/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/cami/sample_0/2017.12.29_11.37.26_sample_0/contigs/gsa_mapping_new.tsv --pred-fasta /mnt/HC_Volume_103721442/cami/sample_0.fna --paf  --threads 8	0
cami_sample_0	centrifuge		run	2025-10-25T00:38:59Z	2025-10-25T00:39:56Z	56.830	125.440	2.170	0.756	0.979	0.018	/mnt/HC_Volume_103721442/HYMET/bench/run_centrifuge.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8	1
cami_sample_0	ganon2		run	2025-10-25T00:39:56Z	2025-10-25T00:39:59Z	3.870	21.820	0.800	0.179	0.093	0.001	/mnt/HC_Volume_103721442/HYMET/bench/run_ganon2.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8	0
cami_sample_0	ganon2		eval	2025-10-25T00:40:00Z	2025-10-25T00:40:12Z	12.840	13.650	1.730	0.925	0.000	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_sample_0 --tool ganon2 --pred-profile /mnt/HC_Volume_103721442/HYMET/bench/out/cami_sample_0/ganon2/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/cami/sample_0/taxonomic_profile_0.txt --pred-contigs /mnt/HC_Volume_103721442/HYMET/bench/out/cami_sample_0/ganon2/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/cami/sample_0/2017.12.29_11.37.26_sample_0/contigs/gsa_mapping_new.tsv --pred-fasta /mnt/HC_Volume_103721442/cami/sample_0.fna --paf  --threads 8	0
cami_sample_0	viwrap		run	2025-10-25T00:40:12Z	2025-10-25T00:40:13Z	0.130	0.090	0.040	0.010	0.000	0.000	/mnt/HC_Volume_103721442/HYMET/bench/run_viwrap.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8	1
cami_sample_0	tama		run	2025-10-25T00:40:13Z	2025-10-25T00:40:13Z	0.150	0.090	0.060	0.010	0.000	0.000	/mnt/HC_Volume_103721442/HYMET/bench/run_tama.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8	1
cami_sample_0	squeezemeta		run	2025-10-25T00:40:13Z	2025-10-25T00:40:13Z	0.190	0.120	0.060	0.013	0.000	0.000	/mnt/HC_Volume_103721442/HYMET/bench/run_squeezemeta.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8	0
