Query	TaxID
S0C224136	2731619
S0C161302	2731619
S0C6452	2731619
S0C45118	2731619
S0C226662	2731619
S0C219390	2731619
S0C145990	2731619
S0C183104	2731619
S0C81220	2731619
S0C109823	2731619
S0C152272	2731619
S0C189116	2731619
S0C16169	2731619
S0C212659	2731619
S0C147718	2731619
S0C70354	2731619
S0C43497	2731619
S0C39876	2731619
S0C90083	2731619
S0C63605	2731619
S0C41819	2731619
S0C87977	2731619
S0C58305	2731619
S0C48408	2731619
S0C182895	2731619
S0C17292	2731619
S0C74803	2731619
S0C188873	2731619
S0C211762	2731619
S0C88487	2731619
S0C13438	2731619
S0C4656	2731619
S0C103259	2731619
S0C219496	2731619
S0C72171	2731619
S0C49433	2731619
S0C148253	2731619
S0C7799	2731619
S0C167893	2731619
S0C20176	2731619
S0C93386	2731619
S0C150119	2731619
S0C4957	2731619
S0C165143	2731619
S0C205933	2731619
S0C48930	10501
S0C214499	2731619
S0C205264	2731619
S0C68546	2731619
S0C224924	2731619
S0C119167	2731619
S0C189169	2731619
S0C106296	2731619
S0C76601	2731619
S0C213627	2731619
S0C224311	2731619
S0C188762	2731619
S0C178416	2731619
S0C4452	2731619
S0C28742	2731619
S0C69964	2731619
S0C207426	2731619
S0C27847	2731619
S0C85439	2731619
S0C18969	2731619
S0C173969	2731619
S0C62430	2731619
S0C58451	2731619
S0C216741	2731619
S0C139024	2731619
S0C182770	2731619
S0C69824	2731619
S0C204538	2731619
S0C154776	2731619
S0C168255	2731619
S0C145789	2731619
S0C4246	2731619
S0C31056	2731619
S0C22138	2731619
S0C202782	2731619
S0C145125	2731619
S0C60542	2731619
S0C211538	2731619
S0C153413	2731619
S0C149150	2731619
S0C1238	2731619
S0C56068	2731619
S0C173642	2731619
S0C170348	2731619
S0C183192	2731619
S0C186992	2731619
S0C182487	2731619
S0C165513	2731619
S0C144551	2731619
S0C33840	2731619
S0C144	2731619
S0C79231	2731619
S0C6100	2731619
S0C222068	2731619
S0C226193	2731619
S0C143964	2731619
S0C81032	2731619
S0C221363	2731619
S0C118054	2731619
S0C142553	2731619
S0C225102	2731619
S0C60128	2731619
S0C90561	2731619
S0C191560	2731619
S0C116243	2731619
S0C206506	2731619
S0C71794	2560065
